title,artist_id,length
Conduct,12,00:5:11
Tomorrow,12,00:3:57
Dreams,12,00:4:14
Linger,12,00:4:35
Zombie,12,00:5:07
Ode to My Family,12,00:4:31
I Can't Be With You,12,00:3:08
Salvation,12,00:2:24
Free to Decide,12,00:3:21
When You're Gone,12,00:3:51
Animal Instinct,12,00:3:32
Promises (Radio Edit),12,00:3:30
Analyse,12,00:4:06
Seven Nation Army,11,00:3:52
Black Math,11,00:3:04
There's No Home for You Here,11,00:3:44
I Just Dont Know What to Do With Myself,11,00:2:46
"In the Cold, Cold Night",11,00:2:58
I Want to Be the Boy to Warm Your Mother's Heart,11,00:3:21
You've Got Her In Your Pocket,11,00:3:40
Ball and Biscuit,11,00:7:19
The Hardest Button to Button,11,00:3:32
Little Acorns,11,00:4:09
Hypnotize,11,00:1:48
The Air Near My Fingers,11,00:3:40
"Girl, You Have No Faith In Medicine",11,00:3:18
Well It's True That We Love One Another,11,00:2:43
Blue Orchid,11,00:2:38
My Doorbell,11,00:4:02
As Ugly As I Seem,11,00:4:10
Handsprings,11,00:2:59
Red Death At 6:14,11,00:3:00
Jolene,11,00:3:17
Icky Thump,11,00:4:15
You Don't Know What Love Is (You Just Do As You're Told),11,00:3:54
Lafayette Blues,11,00:2:16
Sugar Never Tasted So Good,11,00:2:55
Dead Leaves and the Dirty Ground,11,00:3:05
Hotel Yorba,11,00:2:10
Fell In Love With a Girl,11,00:1:50
We're Going to Be Friends,11,00:2:22
Wasting My Time,11,00:2:14